"","leg_party","leg_republican","leg_black","leg_latino","reply_atall","treat_deshawn","treat_demprimary","treat_repprimary","treat_noprimary","treat_group","treat_jake","leg_notwhite","leg_white","leg_notblackotherminority","treat_primary"
"168","D",0,0,0,1,0,0,1,0,3,1,0,1,0,1
"169","D",0,0,0,1,0,1,0,0,5,1,0,1,0,1
"170","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"171","R",1,0,0,1,0,0,1,0,3,1,0,1,0,1
"172","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
"173","D",0,1,0,0,0,0,1,0,3,1,1,0,0,1
"174","D",0,0,0,1,1,0,0,1,6,0,0,1,0,0
"175","R",1,0,0,0,0,1,0,0,5,1,0,1,0,1
"176","D",0,0,0,0,1,0,1,0,2,0,0,1,0,1
"177","R",1,0,0,1,1,0,1,0,2,0,0,1,0,1
"178","R",1,0,0,1,0,0,0,1,0,1,0,1,0,0
"179","R",1,0,0,1,1,0,0,1,6,0,0,1,0,0
"180","D",0,0,0,1,0,1,0,0,5,1,0,1,0,1
"181","R",1,0,0,1,0,0,1,0,3,1,0,1,0,1
"182","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"183","D",0,0,0,1,1,0,0,1,6,0,0,1,0,0
"184","D",0,1,0,0,0,0,1,0,3,1,1,0,0,1
"185","D",0,0,0,1,0,0,1,0,3,1,0,1,0,1
"186","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
"187","R",1,0,0,0,0,0,1,0,3,1,0,1,0,1
"188","D",0,0,0,0,0,0,0,1,0,1,0,1,0,0
"189","D",0,0,0,1,1,1,0,0,4,0,0,1,0,1
"190","D",0,0,0,0,0,0,0,1,0,1,0,1,0,0
"191","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
"192","D",0,0,0,1,1,0,0,1,6,0,0,1,0,0
"193","D",0,0,0,1,0,1,0,0,5,1,0,1,0,1
"194","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"195","D",0,0,0,1,1,1,0,0,4,0,0,1,0,1
"196","D",0,0,0,1,1,0,1,0,2,0,0,1,0,1
"197","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
"198","D",0,0,0,1,0,0,1,0,3,1,0,1,0,1
"199","D",0,0,0,1,0,0,1,0,3,1,0,1,0,1
"200","R",1,0,0,1,1,1,0,0,4,0,0,1,0,1
"201","R",1,0,0,1,0,0,0,1,0,1,0,1,0,0
"202","R",1,0,0,1,0,1,0,0,5,1,0,1,0,1
"203","D",0,0,0,1,0,0,0,1,0,1,0,1,0,0
"204","R",1,0,0,1,1,0,1,0,2,0,0,1,0,1
"205","D",0,0,0,1,1,1,0,0,4,0,0,1,0,1
"206","D",0,0,0,1,0,0,1,0,3,1,0,1,0,1
"207","R",1,0,0,0,1,0,1,0,2,0,0,1,0,1
"208","R",1,0,0,1,1,0,0,1,6,0,0,1,0,0
"209","D",0,0,0,1,1,0,1,0,2,0,0,1,0,1
"210","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
"211","R",1,0,0,1,1,1,0,0,4,0,0,1,0,1
"212","D",0,0,0,0,0,0,0,1,0,1,0,1,0,0
"213","R",1,0,0,1,0,1,0,0,5,1,0,1,0,1
"214","D",0,0,0,1,0,1,0,0,5,1,0,1,0,1
"215","D",0,0,0,1,1,1,0,0,4,0,0,1,0,1
"216","D",0,0,0,1,0,0,1,0,3,1,0,1,0,1
"217","D",0,0,0,1,0,0,1,0,3,1,0,1,0,1
"218","R",1,0,0,1,0,0,1,0,3,1,0,1,0,1
"219","D",0,0,0,0,1,1,0,0,4,0,0,1,0,1
"220","D",0,0,0,1,1,0,1,0,2,0,0,1,0,1
"221","D",0,0,0,0,1,0,1,0,2,0,0,1,0,1
"222","D",0,0,0,1,1,1,0,0,4,0,0,1,0,1
"223","D",0,0,0,1,1,1,0,0,4,0,0,1,0,1
"224","D",0,0,0,1,0,0,1,0,3,1,0,1,0,1
"225","D",0,0,0,1,1,1,0,0,4,0,0,1,0,1
"226","R",1,0,0,1,0,1,0,0,5,1,0,1,0,1
"227","D",0,0,0,0,0,0,0,1,0,1,0,1,0,0
"228","D",0,1,0,0,0,0,0,1,0,1,1,0,0,0
"229","R",1,0,0,1,1,0,0,1,6,0,0,1,0,0
"230","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"231","D",0,0,0,1,1,1,0,0,4,0,0,1,0,1
"232","D",0,1,0,0,0,0,0,1,0,1,1,0,0,0
"233","D",0,0,0,0,1,0,1,0,2,0,0,1,0,1
"234","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
"235","D",0,0,0,1,1,0,0,1,6,0,0,1,0,0
"236","D",0,1,0,0,0,1,0,0,5,1,1,0,0,1
"237","D",0,0,0,1,1,1,0,0,4,0,0,1,0,1
"238","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"239","D",0,0,0,1,0,0,1,0,3,1,0,1,0,1
"240","R",1,0,0,0,1,1,0,0,4,0,0,1,0,1
"241","R",1,0,0,1,0,0,0,1,0,1,0,1,0,0
"242","D",0,1,0,0,1,0,1,0,2,0,1,0,0,1
"243","R",1,0,0,1,1,1,0,0,4,0,0,1,0,1
"244","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
"245","D",0,0,0,1,0,1,0,0,5,1,0,1,0,1
"246","D",0,1,0,0,0,1,0,0,5,1,1,0,0,1
"247","D",0,0,0,0,0,0,0,1,0,1,0,1,0,0
"248","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"249","D",0,0,0,0,0,0,0,1,0,1,0,1,0,0
"250","D",0,0,0,1,1,1,0,0,4,0,0,1,0,1
"251","D",0,0,0,0,0,0,0,1,0,1,0,1,0,0
